ブロックサイズ, 2, 4, 8, 16, 32, 64
block 64, 4.3848, 2.9268, 2.5410, 2.4551, 3.8818, 3.9277
block_unrolling 64, 3.7305, 2.3936, 2.6201, 2.5176, 2.6914, 5.0938
block 128, 6.0693, 3.2637, 2.7092, 2.8198, 6.6472, 10.3445
block_unrolling 128, 5.9160, 3.1094, 3.6101, 2.9485, 5.3679, 10.6643
block 256, 15.7186, 5.3269, 4.4296, 4.6377, 10.0803, 10.0237
block_unrolling 256, 15.5508, 5.3021, 4.4429, 5.1630, 11.7814, 10.9102
block 512, 16.5763, 6.4010, 6.8520, 11.7072, 10.9532, 12.0753
block_unrolling 512, 15.5868, 6.3355, 6.8309, 13.2662, 12.2228, 12.9189
block 1024, 17.5301, 7.3233, 7.6023, 14.6573, 12.7637, 13.6005
block_unrolling 1024, 17.1898, 7.3454, 7.6900, 15.8517, 14.0996, 13.5844
block 2048, 17.5705, 7.9863, 7.9532, 15.8935, 13.2926, 13.0326
block_unrolling 2048, 17.3163, 8.1253, 7.9966, 17.0831, 14.4168, 13.6425
block 4096, 17.9120, 8.3961, 8.5763, 16.6665, 13.4439, 13.0900
block_unrolling 4096, 17.7853, 8.4956, 8.5684, 17.6860, 14.4712, 13.7274
